Exercise#,ExerciseName,GroupName1,GroupName2,GroupName3,GroupName4,Group5
1,Barbell Flat Bench Press,Chest,Push,Upper,Compound,Middle
2,Barbell Incline Bench Press,Chest,Push,Upper,Compound,Upper
3,Barbell Decline Bench Press,Chest,Push,Upper,Compound,Lower
4,Dumbell Flat Bench Press,Chest,Push,Upper,Isolation,Middle
5,Dumbbell Incline Bench Press,Chest,Push,Upper,Isolation,Upper
6,Dumbbell Decline Bench Press,Chest,Push,Upper,Isolation,Lower
7,Dumbbell Flat Fly,Chest,Push,Upper,Isolation,Middle
8,Dumbbell Incline Fly,Chest,Push,Upper,Isolation,Upper
9,Dumbbell Decline Fly,Chest,Push,Upper,Isolation,Lower
10,Dumbbell Pullover,Chest,Push,Upper,Isolation,Middle
11,Cable Incline Fly,Chest,Push,Upper,Isolation,Upper
12,Cable Decline Fly,Chest,Push,Upper,Isolation,Lower
13,Machine Pec Dec Fly,Chest,Push,Upper,Isolation,Middle
14,Machine Incline Bench Press,Chest,Push,Upper,Isolation,Upper
15,Machine Flat Bench Press,Chest,Push,Upper,Isolation,Middle
16,Machine Decline Bench Press,Chest,Push,Upper,Isolation,Lower
17,Push-up,Chest,Push,Upper,Body,Middle
18,Barbell Deadlift,Back,Pull,Upper,Compound,Middle
19,Barbell Row,Back,Pull,Upper,Compound,Middle
20,Barbell T-Bar Row,Back,Pull,Upper,Compound,Middle
21,Dumbbell Row,Back,Pull,Upper,Isolation,Middle
22,Machine T-Bar Row,Back,Pull,Upper,Isolation,Middle
23,Machine Low Row,Back,Pull,Upper,Isolation,Lower
24,Machine High Row,Back,Pull,Upper,Isolation,Upper
25,Machine Mid Row,Back,Pull,Upper,Isolation,Middle
26,Cable Low Row,Back,Pull,Upper,Isolation,Lower
27,Cable Pulldown,Back,Pull,Upper,Isolation,Upper
28,Cable Single-Arm Pulldown,Back,Pull,Upper,Isolation,Upper
29,Cable Close-Grip Pulldown,Back,Pull,Upper,Isolation,Middle
30,Pull-up,Back,Pull,Upper,Body,Upper
31,Barbell Wide-Grip Bicep Curl,Biceps,Pull,Upper,Compound,Outer
32,Barbell Close-Grip Bicep Curl,Biceps,Pull,Upper,Compound,Inner
33,Machine Bicep Curl,Biceps,Pull,Upper,Isolation,Inner
34,Machine Reverse Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
35,Cable Bicep Curl,Biceps,Pull,Upper,Isolation,Inner
36,Cable Reverse Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
37,Dumbbell Bicep Curl,Biceps,Pull,Upper,Isolation,Inner
38,Dumbbell Hammer Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
39,EZ-Bar Close-Grip Bicep Curl,Biceps,Pull,Upper,Isolation,Inner
40,EZ-Bar Close-Grip Reverse Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
41,EZ-Bar Wide-Grip Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
42,EZ-Bar Wide-Grip Reverse Bicep Curl,Biceps,Pull,Upper,Isolation,Outer
43,Barbell Flat Close-Grip Bench Press,Triceps,Push,Upper,Compound,Inner
44,Barbell Incline Close-Grip Bench Press,Triceps,Push,Upper,Compound,Inner
45,Barbell Decline Close-Grip Bench Press,Triceps,Push,Upper,Compound,Inner
46,Dumbbell Single-Arm Tricep Extension,Triceps,Push,Upper,Isolation,Inner
47,Dumbbell Tricep Extension,Triceps,Push,Upper,Isolation,Inner
48,Machine Tricep Extension,Triceps,Push,Upper,Isolation,Inner
49,Cable Tricep Pushdown,Triceps,Push,Upper,Isolation,Outer
50,Cable Single-Arm Tricep Pushdown,Triceps,Push,Upper,Isolation,Outer
